帖子id,帖子链接,帖子用户名,机器人状态,人的形象,是否比赛视频,robot_status原文,媒体类型,语言,特点,数据原文件地址
9IOcGl3ZNuM,https://www.youtube.com/shorts/9IOcGl3ZNuM,KVUE,混合,观众,是,混合（都有）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
Jjrqx1PAG70,https://www.youtube.com/watch?v=Jjrqx1PAG70,CNET,混合,服务照护,是,混合（都有）,民间解读,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
PTc3vrh98r8,https://www.youtube.com/watch?v=PTc3vrh98r8,tuningblog,混合,观众,是,混合（都有）,民间解读,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
qEzVOsUj-34,https://www.youtube.com/shorts/qEzVOsUj-34,CGTN,混合,观众,是,混合（都有）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
EnAwsIQzvAc,https://www.youtube.com/shorts/EnAwsIQzvAc,BeMyWay,强势,观众,是,强势（如超高性能，跑得很快）,民间解读,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
risH1uBS2Xw,https://www.youtube.com/shorts/risH1uBS2Xw,CNA,失败,服务照护,是,失败（如摔倒，失去能力）,原视频,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
EwYRUGeqUL4,https://www.youtube.com/watch?v=EwYRUGeqUL4,Reuters,失败,服务照护,是,失败（如摔倒，失去能力）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
gWaiCwSqgaU,https://www.youtube.com/watch?v=gWaiCwSqgaU,KhanFlicks,混合,观众,是,混合（都有）,民间解读,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
mtFsQeyeADc,https://www.youtube.com/watch?v=mtFsQeyeADc,Marc De Fanti,混合,服务照护,是,混合（都有）,民间解读,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
qBw5XBlAIg4,https://www.youtube.com/shorts/qBw5XBlAIg4,KhanFlicks,混合,观众,是,混合（都有）,民间解读,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
Fag8afQje48,https://www.youtube.com/shorts/Fag8afQje48,Saurav Sharma,强势,观众,是,强势（如超高性能，跑得很快）,民间解读,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
G77sjBW-eSs,https://www.youtube.com/shorts/G77sjBW-eSs,KVUE,混合,观众,是,混合（都有）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
VkwD90RR51E,https://www.youtube.com/watch?v=VkwD90RR51E,CGTN Español,混合,服务照护,是,混合（都有）,官方新闻,其他,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
bHeA-cW1YdU,https://www.youtube.com/watch?v=bHeA-cW1YdU,CN.科技发布会,强势,观众,是,强势（如超高性能，跑得很快）,官方新闻,中文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
up15K0TFIB4,https://www.youtube.com/watch?v=up15K0TFIB4,Associated Press,混合,服务照护,是,混合（都有）,原视频,中文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
kdS01eHeKC8,https://www.youtube.com/shorts/kdS01eHeKC8,Discover Wuxi,强势,观众,是,强势（如超高性能，跑得很快）,民间解读,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
oYxKf9-uUBU,https://www.youtube.com/shorts/oYxKf9-uUBU,WION,混合,观众,是,混合（都有）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
BF4ie98yHOk,https://www.youtube.com/watch?v=BF4ie98yHOk,Sports TV,混合,服务照护,是,混合（都有）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
Iq7v54MvjzY,https://www.youtube.com/watch?v=Iq7v54MvjzY,Associated Press,混合,服务照护,是,混合（都有）,原视频,中文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
H5y1I3UWv0k,https://www.youtube.com/watch?v=H5y1I3UWv0k,Diario AS,常态,服务照护,是,常态（正常跑步和运动）,原视频,中文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
KyFZuBgPBsg,https://www.youtube.com/watch?v=KyFZuBgPBsg,CNBC-TV18,混合,观众,是,混合（都有）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
ONDLPbsXwQQ,https://www.youtube.com/watch?v=ONDLPbsXwQQ,BILD,混合,观众,是,混合（都有）,官方新闻,其他,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
sNigxPWgEu8,https://www.youtube.com/shorts/sNigxPWgEu8,重庆广电第1眼新闻官方频道 First Sight News Official,混合,观众,是,混合（都有）,官方新闻,中文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
vZnFmhgoyL0,https://www.youtube.com/shorts/vZnFmhgoyL0,CODEPOLITAN,混合,服务照护,是,混合（都有）,民间解读,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
01EVUTrblio,https://www.youtube.com/shorts/01EVUTrblio,CGTN Europe,强势,观众,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
pKFj0ZsatQI,https://www.youtube.com/shorts/pKFj0ZsatQI,Jilin City Pulse 吉林市脉动,弱势,服务照护,是,可爱（可爱，萌萌哒）,民间解读,中文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
QlwuZwgYsr4,https://www.youtube.com/watch?v=QlwuZwgYsr4,Sky News,混合,观众,是,混合（都有）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
tUQCMyMQWzI,https://www.youtube.com/watch?v=tUQCMyMQWzI,China Vitality,强势,观众,是,强势（如超高性能，跑得很快）,民间解读,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
t-2fas-EZ7I,https://www.youtube.com/watch?v=t-2fas-EZ7I,UOL,混合,观众,是,混合（都有）,官方新闻,其他,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
yo7nPQ42Kcg,https://www.youtube.com/watch?v=yo7nPQ42Kcg,South China Morning Post,强势,观众,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
9ZAtjLgFD54,https://www.youtube.com/shorts/9ZAtjLgFD54,New China TV,强势,观众,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
IX7ooE5JnM0,https://www.youtube.com/shorts/IX7ooE5JnM0,UOL,混合,服务照护,是,混合（都有）,民间解读,其他,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
VjZfYBkNb-I,https://www.youtube.com/watch?v=VjZfYBkNb-I,CN.科技发布会,混合,服务照护,是,混合（都有）,官方新闻,中文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
dYM7VRs0TnE,https://www.youtube.com/watch?v=dYM7VRs0TnE,Крабоскоп,混合,观众,是,混合（都有）,民间解读,其他,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
iSeoqaYuh0w,https://www.youtube.com/shorts/iSeoqaYuh0w,Gianluigi Ballarani,,,否,,,,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
9Z3wLp8_CPo,https://www.youtube.com/shorts/9Z3wLp8_CPo,CGTN Europe,,,否,,,,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
K4SF6y95ENs,https://www.youtube.com/watch?v=K4SF6y95ENs,CodersVoice (CodersVoice),强势,观众,是,强势（如超高性能，跑得很快）,原视频,中文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
i9BW02wgGA4,https://www.youtube.com/watch?v=i9BW02wgGA4,Chris Wabs,常态,服务照护,是,常态（正常跑步和运动）,民间解读,其他,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
faDToBovvpU,https://www.youtube.com/shorts/faDToBovvpU,New China TV,强势,观众,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
sW4jM1lnDd4,https://www.youtube.com/shorts/sW4jM1lnDd4,CGTN Europe,强势,观众,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
wHzMM37Z0iA,https://www.youtube.com/watch?v=wHzMM37Z0iA,The AI Nexus,混合,观众,是,混合（都有）,民间解读,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
U04g9YjJtXc,https://www.youtube.com/watch?v=U04g9YjJtXc,China Daily 中国日报,强势,观众,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
an7bXD2Y0xo,https://www.youtube.com/shorts/an7bXD2Y0xo,TheSmartLocal Malaysia,混合,观众,是,混合（都有）,民间解读,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
giYdyqGIAwg,https://www.youtube.com/shorts/giYdyqGIAwg,重庆广电第1眼新闻官方频道 First Sight News Official,强势,观众,是,强势（如超高性能，跑得很快）,官方新闻,中文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
CeFoRUQGce0,https://www.youtube.com/watch?v=CeFoRUQGce0,The Independent,混合,观众,是,混合（都有）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
SHugYGeq4tE,https://www.youtube.com/watch?v=SHugYGeq4tE,CodersVoice (CodersVoice),常态,观众,是,常态（正常跑步和运动）,原视频,中文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
ZkS3PUDIAzQ,https://www.youtube.com/watch?v=ZkS3PUDIAzQ,tuningblog,混合,服务照护,是,混合（都有）,民间解读,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
-276yD5XNfo,https://www.youtube.com/watch?v=-276yD5XNfo,WION,常态,服务照护,是,常态（正常跑步和运动）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
COcBn0kmbRw,https://www.youtube.com/shorts/COcBn0kmbRw,Discover Wuxi,混合,观众,是,混合（都有）,原视频,中文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
MbJ6JxQGlmQ,https://www.youtube.com/shorts/MbJ6JxQGlmQ,CGTN Frontline,混合,观众,是,混合（都有）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
wTch46zOsHQ,https://www.youtube.com/watch?v=wTch46zOsHQ,RFI,混合,观众,是,混合（都有）,官方新闻,其他,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
-14nIzpCeV8,https://www.youtube.com/shorts/-14nIzpCeV8,YouthVision,混合,观众,是,混合（都有）,民间解读,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
8N1bfwklHO0,https://www.youtube.com/shorts/8N1bfwklHO0,TECHNOVEDIA,强势,观众,是,强势（如超高性能，跑得很快）,原视频,中文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
FkiwNYysWSw,https://www.youtube.com/watch?v=FkiwNYysWSw,Associated Press,混合,观众,是,混合（都有）,官方新闻,中文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
nkX7SQOfTu8,https://www.youtube.com/shorts/nkX7SQOfTu8,ESPN Deportes,混合,观众,是,混合（都有）,民间解读,其他,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
oLEX5RSEeFo,https://www.youtube.com/shorts/oLEX5RSEeFo,VisionX,强势,观众,是,强势（如超高性能，跑得很快）,民间解读,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
-VobWmHbc5k,https://www.youtube.com/shorts/-VobWmHbc5k,Кирило Соляр | AI та автоматизація бізнесу,强势,观众,是,强势（如超高性能，跑得很快）,民间解读,其他,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
x7aV_PIlxIo,https://www.youtube.com/watch?v=x7aV_PIlxIo,MILENIO,混合,观众,是,混合（都有）,官方新闻,其他,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
BuJCI5p03zo,https://www.youtube.com/watch?v=BuJCI5p03zo,The Independent,混合,观众,是,混合（都有）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
aHWnBwfmkO8,https://www.youtube.com/shorts/aHWnBwfmkO8,ESPN Deportes,强势,服务照护,是,强势（如超高性能，跑得很快）,民间解读,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
fUYfqn4rdOk,https://www.youtube.com/watch?v=fUYfqn4rdOk,The Sun,混合,观众,是,混合（都有）,官方新闻,中文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
Bb3Z7dcXYkw,https://www.youtube.com/shorts/Bb3Z7dcXYkw,CBS Evening News,混合,服务照护,是,混合（都有）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
ORiJAe6Qnuk,https://www.youtube.com/watch?v=ORiJAe6Qnuk,Emperor Insights – Science & Curiosity,常态,服务照护,是,常态（正常跑步和运动）,原视频,中文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
nli_Iu2Iy8U,https://www.youtube.com/shorts/nli_Iu2Iy8U,Shanghai Daily,常态,观众,是,常态（正常跑步和运动）,民间解读,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
-94VeENT5uU,https://www.youtube.com/shorts/-94VeENT5uU,New York Post,混合,观众,是,混合（都有）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
nDJBp2EdQQU,https://www.youtube.com/shorts/nDJBp2EdQQU,Shanghai Daily,混合,服务照护,是,混合（都有）,民间解读,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
rR7qGXCXDfs,https://www.youtube.com/watch?v=rR7qGXCXDfs,tuningblog,常态,服务照护,是,常态（正常跑步和运动）,民间解读,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
NELME8BKujQ,https://www.youtube.com/watch?v=NELME8BKujQ,Chris Wabs,混合,服务照护,是,混合（都有）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
g15Dx6-KfsY,https://www.youtube.com/shorts/g15Dx6-KfsY,Footy3000,混合,观众,是,混合（都有）,民间解读,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
hI47-r9SdEk,https://www.youtube.com/shorts/hI47-r9SdEk,Koq Iso,常态,观众,是,常态（正常跑步和运动）,民间解读,其他,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
iXShJCbk5fU,https://www.youtube.com/shorts/iXShJCbk5fU,CGTN,常态,观众,是,常态（正常跑步和运动）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
y6rSCb8ic4k,https://www.youtube.com/shorts/y6rSCb8ic4k,Yicai 第一财经,强势,服务照护,是,强势（如超高性能，跑得很快）,官方新闻,中文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
YDoesVvj2Lg,https://www.youtube.com/shorts/YDoesVvj2Lg,重庆广电第1眼新闻官方频道 First Sight News Official,强势,观众,是,强势（如超高性能，跑得很快）,官方新闻,中文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
lVJXpz_4hxA,https://www.youtube.com/watch?v=lVJXpz_4hxA,Lumos Robotics,强势,观众,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
8r88UWX9Kbo,https://www.youtube.com/shorts/8r88UWX9Kbo,CGTN Frontline,混合,服务照护,是,混合（都有）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
DGbQ7iZLZZk,https://www.youtube.com/shorts/DGbQ7iZLZZk,ShanghaiEye魔都眼,常态,服务照护,是,常态（正常跑步和运动）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
J7AwTUCIgqs,https://www.youtube.com/watch?v=J7AwTUCIgqs,CGTN,混合,观众,是,混合（都有）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
V_Y7p3QP_-Y,https://www.youtube.com/shorts/V_Y7p3QP_-Y,CGTN Europe,强势,观众,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
WOjiWIlf2jM,https://www.youtube.com/watch?v=WOjiWIlf2jM,BBC News Tiếng Việt,混合,服务照护,是,混合（都有）,官方新闻,其他,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
42irOO7QgNA,https://www.youtube.com/shorts/42irOO7QgNA,Ticker,常态,服务照护,是,常态（正常跑步和运动）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
53N67GiRmYE,https://www.youtube.com/watch?v=53N67GiRmYE,"Rassegnata, ma non troppo con Silvia Morghen",,,否,,,,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
92NzHYJGrf0,https://www.youtube.com/watch?v=92NzHYJGrf0,CN.科技发布会,,,否,,,,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
9d7FhW4AV-8,https://www.youtube.com/shorts/9d7FhW4AV-8,RTÉ News,失败,观众,是,失败（如摔倒，失去能力）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
AfJbKDYdDvM,https://www.youtube.com/watch?v=AfJbKDYdDvM,CN.科技发布会,强势,观众,是,强势（如超高性能，跑得很快）,官方新闻,中文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
HbA9EVVZsag,https://www.youtube.com/watch?v=HbA9EVVZsag,Good Morning America,混合,服务照护,是,混合（都有）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
x0jUcUkDJ78,https://www.youtube.com/watch?v=x0jUcUkDJ78,ШЕСТЕРЁНКА,混合,观众,是,混合（都有）,民间解读,其他,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
Er33Fxijj3k,https://www.youtube.com/shorts/Er33Fxijj3k,Daily World,混合,观众,是,混合（都有）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
dQYFjOxzdYY,https://www.youtube.com/watch?v=dQYFjOxzdYY,AGENCIA EFE,混合,观众,是,混合（都有）,官方新闻,其他,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
eM5qVvg-WLc,https://www.youtube.com/shorts/eM5qVvg-WLc,The Straits Times,失败,观众,是,失败（如摔倒，失去能力）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
elSdTGiWSu4,https://www.youtube.com/shorts/elSdTGiWSu4,重庆广电第1眼新闻官方频道 First Sight News Official,混合,观众,是,混合（都有）,官方新闻,中文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
gRwHLiPMvAk,https://www.youtube.com/watch?v=gRwHLiPMvAk,DWS News,混合,观众,是,混合（都有）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
p81XhrU_19U,https://www.youtube.com/shorts/p81XhrU_19U,Rod Miller,失败,观众,是,失败（如摔倒，失去能力）,民间解读,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
vd4Tp1Y0YU4,https://www.youtube.com/watch?v=vd4Tp1Y0YU4,DRM News,混合,服务照护,是,混合（都有）,官方新闻,中文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
xgxnI4dBHMs,https://www.youtube.com/watch?v=xgxnI4dBHMs,TRT World,,,否,,,,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
1zyuHEdfY1A,https://www.youtube.com/shorts/1zyuHEdfY1A,VBear media,混合,观众,是,混合（都有）,原视频,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
M5BiZ8Sw-BU,https://www.youtube.com/shorts/M5BiZ8Sw-BU,India Today,混合,观众,是,混合（都有）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
MvjkVlmoIzU,https://www.youtube.com/watch?v=MvjkVlmoIzU,CN.科技发布会,混合,观众,是,混合（都有）,官方新闻,中文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
jyXi33ulKqM,https://www.youtube.com/shorts/jyXi33ulKqM,Technical Guru G 2.0,强势,观众,是,强势（如超高性能，跑得很快）,原视频,中文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
taHUnM-Yj-U,https://www.youtube.com/shorts/taHUnM-Yj-U,Over Billion Views,混合,服务照护,是,混合（都有）,官方新闻,中文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
9s0_USAxt7c,https://www.youtube.com/shorts/9s0_USAxt7c,CCTV Video News Agency,强势,观众,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
Kbx13G1_xTg,https://www.youtube.com/shorts/Kbx13G1_xTg,Discover Wuxi,混合,观众,是,混合（都有）,民间解读,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
Pnhgyi2QASA,https://www.youtube.com/watch?v=Pnhgyi2QASA,消失的國界│從台灣看見世界的故事,混合,服务照护,是,混合（都有）,官方新闻,中文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
dtSPkc-I6us,https://www.youtube.com/watch?v=dtSPkc-I6us,Firstpost,混合,观众,是,混合（都有）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
mapcVcqR4Yw,https://www.youtube.com/shorts/mapcVcqR4Yw,Track World,混合,观众,是,混合（都有）,民间解读,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
vH8O3QtpoKU,https://www.youtube.com/watch?v=vH8O3QtpoKU,WION,混合,观众,是,混合（都有）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
wwwSeSFcwU0,https://www.youtube.com/shorts/wwwSeSFcwU0,Energy Wave Media,混合,服务照护,是,混合（都有）,原视频,中文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
5XuRy3YNB6o,https://www.youtube.com/shorts/5XuRy3YNB6o,Perigee Tech,常态,观众,是,常态（正常跑步和运动）,民间解读,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
6C4hpxsyqeM,https://www.youtube.com/shorts/6C4hpxsyqeM,KhanFlicks,,,否,,,,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
Fy5MCP2vyEU,https://www.youtube.com/watch?v=Fy5MCP2vyEU,The GammaRay Report,混合,观众,是,混合（都有）,民间解读,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
XTrXYm7x3LI,https://www.youtube.com/shorts/XTrXYm7x3LI,DPANDA,强势,观众,是,强势（如超高性能，跑得很快）,民间解读,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
aH3Cbo5nUpQ,https://www.youtube.com/shorts/aH3Cbo5nUpQ,CGTN Europe,常态,服务照护,是,常态（正常跑步和运动）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
nIMxc-6GNr4,https://www.youtube.com/watch?v=nIMxc-6GNr4,Business Today,混合,观众,是,混合（都有）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
zBoMu-TxGiM,https://www.youtube.com/watch?v=zBoMu-TxGiM,AGENCIA EFE,混合,观众,是,混合（都有）,官方新闻,其他,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
HsQG0MsPEUU,https://www.youtube.com/watch?v=HsQG0MsPEUU,RoboFrontier,强势,观众,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
U9zqQO7vy1c,https://www.youtube.com/shorts/U9zqQO7vy1c,WiGator,强势,观众,是,强势（如超高性能，跑得很快）,民间解读,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
zratOmQozBs,https://www.youtube.com/shorts/zratOmQozBs,KHOU 11,混合,服务照护,是,混合（都有）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
62rLJ57aRFA,https://www.youtube.com/shorts/62rLJ57aRFA,FactWorld TH,混合,观众,是,混合（都有）,民间解读,其他,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
DBK6pU23aKw,https://www.youtube.com/watch?v=DBK6pU23aKw,DRM News,失败,观众,是,失败（如摔倒，失去能力）,民间解读,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
DWsX3MjBeNk,https://www.youtube.com/shorts/DWsX3MjBeNk,Peter Kappes,失败,观众,是,失败（如摔倒，失去能力）,民间解读,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
